table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Intercensal Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2010 to April 1, 2020",,,,,,,,,,,,
Geographic Area,"April 1, 2010 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,"April 1, 2020 Census"
,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
United States,"308,758,105","309,378,227","311,839,461","314,339,099","316,726,282","319,257,560","321,815,121","324,353,340","326,608,609","328,529,577","330,226,227","331,449,390"
Northeast,"55,318,414","55,422,736","55,818,637","56,161,789","56,460,251","56,737,161","56,936,961","57,116,757","57,304,709","57,474,216","57,560,957","57,609,134"
Midwest,"66,929,737","66,990,957","67,242,411","67,489,449","67,780,382","68,032,120","68,214,912","68,410,263","68,615,113","68,780,477","68,920,237","68,985,268"
South,"114,563,042","114,863,745","115,991,037","117,212,918","118,323,170","119,569,436","120,929,644","122,277,136","123,445,860","124,461,210","125,475,828","126,266,363"
West,"71,946,912","72,100,789","72,787,376","73,474,943","74,162,479","74,918,843","75,733,604","76,549,184","77,242,927","77,813,674","78,269,205","78,588,625"
.Alabama,"4,780,118","4,788,095","4,812,576","4,839,947","4,865,253","4,887,757","4,909,177","4,931,579","4,953,096","4,977,088","5,003,778","5,024,319"
.Alaska,"710,246","714,015","722,513","731,106","738,054","737,634","739,120","743,397","741,937","737,710","734,820","733,390"
.Arizona,"6,392,292","6,401,304","6,443,158","6,501,800","6,555,926","6,629,890","6,705,607","6,793,278","6,872,380","6,964,300","7,067,695","7,151,505"
.Arkansas,"2,916,029","2,921,546","2,938,773","2,948,793","2,954,563","2,961,050","2,970,210","2,980,475","2,990,702","2,997,195","3,004,206","3,011,527"
.California,"37,254,522","37,322,523","37,651,212","37,971,412","38,292,557","38,637,421","38,966,939","39,223,789","39,424,315","39,535,920","39,547,995","39,538,265"
.Colorado,"5,029,319","5,046,928","5,118,837","5,188,139","5,262,801","5,342,212","5,441,452","5,528,510","5,599,635","5,676,918","5,735,797","5,773,730"
.Connecticut,"3,574,151","3,580,281","3,594,181","3,605,215","3,610,238","3,614,584","3,611,891","3,607,614","3,607,550","3,611,229","3,607,133","3,605,951"
.Delaware,"897,947","899,773","908,220","916,654","925,704","935,278","944,716","953,146","961,604","971,152","981,340","989,951"
.District of Columbia,"601,767","604,718","617,465","630,643","644,203","653,986","665,135","673,428","680,670","685,476","687,320","689,548"
.Florida,"18,804,589","18,842,405","19,036,879","19,268,256","19,502,928","19,790,139","20,140,379","20,533,473","20,868,335","21,131,181","21,353,320","21,538,209"
.Georgia,"9,688,737","9,712,616","9,805,666","9,907,250","9,980,892","10,078,133","10,191,912","10,318,636","10,428,854","10,532,841","10,643,103","10,711,972"
.Hawaii,"1,360,304","1,365,117","1,385,141","1,405,255","1,423,345","1,434,323","1,446,452","1,456,816","1,458,161","1,459,965","1,456,943","1,455,280"
.Idaho,"1,567,658","1,571,339","1,586,880","1,600,611","1,618,841","1,641,124","1,663,458","1,697,093","1,734,888","1,769,305","1,808,378","1,839,129"
.Illinois,"12,831,572","12,845,460","12,892,409","12,927,420","12,959,880","12,968,905","12,963,110","12,944,999","12,922,894","12,887,397","12,849,440","12,812,436"
.Indiana,"6,484,050","6,491,385","6,521,409","6,546,485","6,581,401","6,610,174","6,628,925","6,658,719","6,686,218","6,725,960","6,761,818","6,785,499"
.Iowa,"3,046,877","3,051,473","3,070,048","3,082,748","3,102,460","3,121,790","3,136,310","3,149,607","3,162,752","3,171,540","3,183,858","3,190,352"
.Kansas,"2,853,120","2,858,835","2,872,529","2,891,164","2,901,727","2,911,564","2,922,703","2,927,251","2,927,448","2,931,587","2,933,756","2,937,864"
.Kentucky,"4,339,330","4,349,159","4,374,302","4,394,147","4,415,978","4,428,854","4,443,778","4,457,755","4,475,829","4,487,302","4,498,163","4,505,819"
.Louisiana,"4,533,500","4,544,804","4,577,089","4,603,590","4,628,239","4,648,813","4,670,550","4,685,576","4,678,580","4,670,033","4,664,544","4,657,753"
.Maine,"1,328,354","1,327,967","1,330,060","1,330,954","1,332,673","1,336,617","1,335,768","1,340,292","1,344,956","1,350,606","1,357,523","1,362,357"
.Maryland,"5,773,787","5,791,715","5,854,930","5,914,854","5,963,434","6,010,059","6,050,280","6,080,556","6,113,486","6,139,211","6,163,769","6,177,203"
.Massachusetts,"6,547,788","6,569,724","6,630,673","6,693,932","6,757,991","6,820,869","6,866,661","6,909,664","6,959,114","6,994,446","7,016,781","7,029,937"
.Michigan,"9,884,112","9,880,111","9,895,652","9,921,001","9,947,598","9,974,914","9,987,448","10,017,194","10,049,914","10,070,532","10,078,126","10,077,259"
.Minnesota,"5,303,933","5,312,197","5,352,946","5,388,902","5,431,187","5,474,193","5,510,593","5,557,028","5,606,013","5,650,556","5,686,910","5,706,526"
.Mississippi,"2,968,129","2,970,367","2,977,902","2,982,356","2,986,599","2,987,656","2,985,000","2,984,364","2,983,448","2,974,657","2,969,008","2,961,284"
.Missouri,"5,988,941","5,996,167","6,011,574","6,026,733","6,044,008","6,060,462","6,077,056","6,093,343","6,113,654","6,128,572","6,143,374","6,154,872"
.Montana,"989,400","990,874","998,243","1,005,475","1,016,046","1,025,126","1,034,544","1,045,768","1,058,073","1,066,610","1,075,495","1,084,215"
.Nebraska,"1,826,311","1,830,194","1,843,937","1,859,140","1,873,681","1,890,242","1,904,766","1,921,616","1,934,551","1,945,483","1,954,962","1,961,472"
