State,2016 Result,2020 Result,2024 Result,Political Affiliation
Alabama,R,R,R,R
Alaska,R,R,R,R
Arizona,R,D,R,R
Arkansas,R,R,R,R
California,D,D,D,D
Colorado,D,D,D,D
Connecticut,D,D,D,D
Delaware,D,D,D,D
Florida,R,R,R,R
Georgia,R,D,R,R
Hawaii,D,D,D,D
Idaho,R,R,R,R
Illinois,D,D,D,D
Indiana,R,R,R,R
Iowa,R,R,R,R
Kansas,R,R,R,R
Kentucky,R,R,R,R
Louisiana,R,R,R,R
Maine,Other,Other,Other,Other
Maryland,D,D,D,D
Massachusetts,D,D,D,D
Michigan,R,D,R,R
Minnesota,D,D,D,D
Mississippi,R,R,R,R
Missouri,R,R,R,R
Montana,R,R,R,R
Nebraska,R,Other,Other,Other
Nevada,D,D,R,D
New Hampshire,D,D,D,D
New Jersey,D,D,D,D
New Mexico,D,D,D,D
New York,D,D,D,D
North Carolina,R,R,R,R
North Dakota,R,R,R,R
Ohio,R,R,R,R
Oklahoma,R,R,R,R
Oregon,D,D,D,D
Pennsylvania,R,D,R,R
Puerto Rico,,,,
Rhode Island,D,D,D,D
South Carolina,R,R,R,R
South Dakota,R,R,R,R
Tennessee,R,R,R,R
Texas,R,R,R,R
Utah,R,R,R,R
Vermont,D,D,D,D
Virginia,D,D,D,D
Washington,D,D,D,D
West Virginia,R,R,R,R
Wisconsin,R,D,R,R
Wyoming,R,R,R,R
