DW Assistance Provided,,,,,,,
Report Date: 02/20/2026 09:18:13,,,,,,,
Report Filters:  State in (NC) Reporting Year 2025,,,,,,,
,,,,,,,
Agreement Action,State,Borrower,Loan Tracking Number,Assistance Type,Date of Agreement Action,Number of New Agreements</br> (Includes Sub agreements),Amount of New Funding
New Assistance,NC,"Washington, City of",WIF-2049,Loan,10/22/2024,1,"6,154,000"
Changes in Assistance,NC,Junaluska Sanitary District,WIF-2035,Loan,10/22/2024,0,"-3,961,316"
Changes in Assistance,NC,"Franklin, Town of",WIF-2028,Loan,08/08/2024,0,"-2,500,000"
New Assistance,NC,"Franklin, Town of",WIF-2028,Loan,07/31/2024,1,"11,389,000"
New Assistance,NC,Pender County,WIF-2006,Loan,08/02/2024,1,"13,187,000"
Changes in Assistance,NC,"Henderson, City of",WIF-1920,Loan,07/31/2024,0,"10,890,172"
New Assistance,NC,Stokes County,WIF - 2004,Loan,07/30/2024,1,"5,208,600"
New Assistance,NC,"Aqua North Carolina, Inc.",SRF-EC-0020,Loan,06/12/2025,1,"1,447,400"
New Assistance,NC,Broad River Water Authority,SRF-D-LSL-0138,Loan,05/09/2025,1,"1,000,000"
New Assistance,NC,"Lumberton, City of",SRF-D-LSL-0126,Loan,04/09/2025,1,"1,000,000"
New Assistance,NC,"Grifton, Town of",SRF-D-LSL-0123,Loan,03/11/2025,1,"837,800"
New Assistance,NC,"Nash, County of",SRF-D-LSL-0121,Loan,06/15/2025,1,"1,000,000"
New Assistance,NC,"Nash, County of",SRF-D-LSL-0119,Loan,04/15/2025,1,"817,500"
New Assistance,NC,"Nash, County of",SRF-D-LSL-0118,Loan,04/15/2025,1,"462,500"
New Assistance,NC,"Kannapolis, City of",SRF-D-LSL-0116,Loan,03/11/2025,1,"1,000,000"
New Assistance,NC,Eastern Pines,SRF-D-LSL-0114,Loan,03/11/2025,1,"535,000"
New Assistance,NC,Harrells Water Corporation,SRF-D-LSL-0112,Loan,03/11/2025,1,"53,815"
New Assistance,NC,"Winterville, Town of",SRF-D-LSL-0109,Loan,08/22/2024,1,"165,000"
New Assistance,NC,"Morganton, City of",SRF-D-LSL-0108,Loan,03/18/2025,1,"450,000"
New Assistance,NC,Lumberton,SRF-D-LSL-0107,Loan,12/30/2024,1,"1,000,000"
New Assistance,NC,"Black Mountain, Town of",SRF-D-LSL-0106,Loan,10/22/2024,1,"500,000"
New Assistance,NC,"Washington, City of",SRF-D-LSL-0103,Loan,08/22/2024,1,"460,000"
New Assistance,NC,"Bessemer City, Town of",SRF-D-LSL-0099,Loan,10/22/2024,1,"780,000"
New Assistance,NC,"Newton Grove, Town of",SRF-D-LSL-0098,Loan,10/22/2024,1,"66,700"
New Assistance,NC,"Haw River, Town of",SRF-D-LSL-0093,Loan,12/18/2024,1,"210,000"
New Assistance,NC,"Whitakers, Town of",SRF-D-LSL-0092,Loan,04/10/2025,1,"60,150"
Changes in Assistance,NC,Iredell Water Corporation,SRF-D-LSL-0091,Loan,02/06/2025,0,"-139,448"
New Assistance,NC,Iredell Water Corporation,SRF-D-LSL-0091,Loan,07/23/2024,1,"348,620"
New Assistance,NC,"Harnett, County of",SRF-D-LSL-0088,Loan,05/19/2025,1,"1,000,000"
New Assistance,NC,"Wilson, City of",SRF-D-LSL-0087,Loan,04/16/2025,1,"1,000,000"
New Assistance,NC,"Elizabethtown, Town of",SRF-D-LSL-0085,Loan,07/23/2024,1,"278,920"
New Assistance,NC,Bertie County,SRF-D-LSL-0084,Loan,07/23/2024,1,"290,000"
New Assistance,NC,Northampton County,SRF-D-LSL-0083,Loan,07/23/2024,1,"1,000,000"
New Assistance,NC,North Lenoir Water Corporation,SRF-D-LSL-0081,Loan,12/18/2024,1,"627,811"
