X,Y,objectid,pws_id,pws_type,county,owner,federal_id,state_id,source_typ,source_nam,source_ava,well_yield,well_depth,reg_name,system_nam,system_add,system_cit,system_sta,system_zip,system_con,system_pop,owner_addr,owner_city,owner_stat,owner_zip,wsw_class,intake_loc,pws_type_d
310403.986297421,243564.71240034,1,NC0100010,Community,YANCEY,"BURNSVILLE, TOWN OF",39013,S01,Surface Water,CANE RIVER,Permanent,0,0,ASHEVILLE REGIONAL OFFICE,"BURNSVILLE, TOWN OF",690 RESERVOIR RD,BURNSVILLE,NC,28714,1602,4069,PO BOX 97,BURNSVILLE,NC,28714,WS-II,Direct Stream,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
319651.873697421,228075.114400338,2,NC0100103,Community,YANCEY,CAROLINA WATER SERVICE INC OF NC,11245,W01,Groundwater,WELL #1,Permanent,125,300,ASHEVILLE REGIONAL OFFICE,MT MITCHELL LANDS,608 SOUTH TOE RIVER RD,MICAVILLE,NC,28755,246,650,PO BOX 240908,CHARLOTTE,NC,28224-0908, , ,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
319576.260297415,228198.884500341,3,NC0100103,Community,YANCEY,CAROLINA WATER SERVICE INC OF NC,11246,W03,Groundwater,WELL #3,Permanent,84,500,ASHEVILLE REGIONAL OFFICE,MT MITCHELL LANDS,608 SOUTH TOE RIVER RD,MICAVILLE,NC,28755,246,650,PO BOX 240908,CHARLOTTE,NC,28224-0908, , ,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
319937.907797418,228438.289100341,4,NC0100103,Community,YANCEY,CAROLINA WATER SERVICE INC OF NC,11247,W3A,Groundwater,WELL #3A,Permanent,57,600,ASHEVILLE REGIONAL OFFICE,MT MITCHELL LANDS,608 SOUTH TOE RIVER RD,MICAVILLE,NC,28755,246,650,PO BOX 240908,CHARLOTTE,NC,28224-0908, , ,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
320807.068897418,228501.512100339,5,NC0100103,Community,YANCEY,CAROLINA WATER SERVICE INC OF NC,11248,W04,Groundwater,WELL #4,Permanent,54,220,ASHEVILLE REGIONAL OFFICE,MT MITCHELL LANDS,608 SOUTH TOE RIVER RD,MICAVILLE,NC,28755,246,650,PO BOX 240908,CHARLOTTE,NC,28224-0908, , ,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
307192.408697417,240040.798300346,6,NC0100105,Community,YANCEY,CAROLINA WATER SERVICE INC OF NC,11251,W01,Groundwater,WELL #1,Permanent,14,650,ASHEVILLE REGIONAL OFFICE,MOUNTAIN AIR,8 BALL RD,BURNSVILLE,NC,28714,464,603,PO BOX 240908,CHARLOTTE,NC,28224-0908, , ,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
307349.753497421,239982.758300338,7,NC0100105,Community,YANCEY,CAROLINA WATER SERVICE INC OF NC,11252,W02,Groundwater,WELL #2,Permanent,15,606,ASHEVILLE REGIONAL OFFICE,MOUNTAIN AIR,8 BALL RD,BURNSVILLE,NC,28714,464,603,PO BOX 240908,CHARLOTTE,NC,28224-0908, , ,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
306857.220697418,241392.370000342,8,NC0100105,Community,YANCEY,CAROLINA WATER SERVICE INC OF NC,11253,W03,Groundwater,WELL #3,Permanent,7,500,ASHEVILLE REGIONAL OFFICE,MOUNTAIN AIR,8 BALL RD,BURNSVILLE,NC,28714,464,603,PO BOX 240908,CHARLOTTE,NC,28224-0908, , ,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
306505.064797424,243141.410600338,9,NC0100105,Community,YANCEY,CAROLINA WATER SERVICE INC OF NC,11254,W07,Groundwater,WELL #7,Permanent,250,455,ASHEVILLE REGIONAL OFFICE,MOUNTAIN AIR,8 BALL RD,BURNSVILLE,NC,28714,464,603,PO BOX 240908,CHARLOTTE,NC,28224-0908, , ,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
306502.703597421,243146.375100343,10,NC0100105,Community,YANCEY,CAROLINA WATER SERVICE INC OF NC,11255,W08,Groundwater,WELL #8,Permanent,250,658,ASHEVILLE REGIONAL OFFICE,MOUNTAIN AIR,8 BALL RD,BURNSVILLE,NC,28714,464,603,PO BOX 240908,CHARLOTTE,NC,28224-0908, , ,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
320600.835597419,249269.325000342,11,NC0100438,Non-Community Transient,YANCEY,DOUBLE ISLAND BAPTIST CHURCH,11294,W01,Groundwater,WELL #1,Permanent,18,325,ASHEVILLE REGIONAL OFFICE,DOUBLE ISLAND BAPTIST CHURCH,5170 DOUBLE ISLAND ROAD,GREEN MOUNTAIN,NC,28740,2,125,5170 DOUBLE ISLAND RD,GREEN MOUNTAIN,NC,28740, , ,"Serves 25+ people at least 60 days per year. ex. restaurants, churches, DOT rest areas."
316686.117597423,253177.669100344,12,NC0100440,Non-Community Transient,YANCEY,COVEY ROCK FWB CHURCH,11296,W02,Groundwater,WELL #2,Permanent,12,225,ASHEVILLE REGIONAL OFFICE,COVEY ROCK FWB CHURCH,-,GREEN MOUNTAIN,NC,28740,3,110,7130 ST HWY 197 NORTH,GREEN MOUNTAIN,NC,28740, , ,"Serves 25+ people at least 60 days per year. ex. restaurants, churches, DOT rest areas."
