State,Amount($)
Texas,516323049
New York,297550287
Ohio,226016525
Arizona,200581699
Illinois,174459715
Oklahoma,170969260
Florida,156859039
New Jersey,148000577
Pennsylvania,141921062
California,132728910
Massachusetts,107552510
Indiana,106774716
Michigan,104270000
Wisconsin,99263983
Iowa,88048682
Alabama,83404460
Utah,72695000
Georgia,62409173
Idaho,62348142
Kansas,58774104
Arkansas,52836400
South Dakota,50148291
Colorado,41402154
Tennessee,36943245
North Dakota,34113393
Nebraska,33361180
North Carolina,30964058
Minnesota,29606925
Mississippi,29349855
South Carolina,28686910
Louisiana,28522204
Oregon,21882557
Montana,20382648
Washington,19959629
Connecticut,19811084
Missouri,19644825
Maine,18746973
Vermont,16905628
Kentucky,16610759
Hawaii,15777895
New Hampshire,15158072
Virginia,12142839
Delaware,12013155
Wyoming,9432196
Rhode Island,8680000
New Mexico,7466629
Alaska,7382453
West Virginia,3520050
Maryland,1753987
Nevada,867253
Puerto Rico,-16601522
